Date,Price,Open,High,Low,Vol.,Change %
02/01/1994,10.03,10.56,10.78,10.00,89.35M,-5.29%
01/01/1994,10.59,11.19,11.44,10.03,98.40M,-5.61%
12/01/1993,11.22,10.94,11.38,10.59,86.74M,2.84%
11/01/1993,10.91,10.53,11.41,10.47,91.39M,3.61%
10/01/1993,10.53,9.81,10.66,9.62,90.57M,7.01%
09/01/1993,9.84,10.16,10.44,9.41,115.32M,-3.43%
08/01/1993,10.19,9.16,10.25,8.91,137.68M,11.73%
07/01/1993,9.12,10.31,10.34,9.03,129.28M,-12.14%
06/01/1993,10.38,11.12,11.44,10.12,108.94M,-6.99%
05/01/1993,11.16,11.00,11.44,10.56,92.35M,2.29%
04/01/1993,10.91,10.66,10.97,9.59,121.83M,2.35%
03/01/1993,10.66,10.72,11.19,9.66,160.48M,0.38%
02/01/1993,10.62,11.09,11.53,9.41,161.59M,-3.45%
01/01/1993,11.00,12.56,12.59,10.88,113.93M,-12.84%
12/01/1992,12.62,12.56,13.69,12.44,84.16M,0.24%
11/01/1992,12.59,12.44,12.97,11.91,67.90M,0.72%
10/01/1992,12.50,11.84,12.75,10.81,92.16M,6.11%
09/01/1992,11.78,12.31,13.22,11.62,80.92M,-4.54%
08/01/1992,12.34,12.22,12.81,12.03,67.83M,0.24%
07/01/1992,12.31,11.16,12.41,11.16,85.13M,10.01%
06/01/1992,11.19,12.06,12.25,10.75,143.23M,-7.60%
05/01/1992,12.11,11.80,12.22,11.50,99.30M,2.11%
04/01/1992,11.86,12.12,12.84,11.11,164.19M,-2.71%
03/01/1992,12.19,12.59,12.83,11.75,108.72M,-3.71%
02/01/1992,12.66,13.34,13.72,12.06,112.51M,-5.80%
01/01/1992,13.44,14.06,14.67,12.78,143.76M,-6.08%
12/01/1991,14.31,11.91,14.53,11.91,118.08M,18.76%
11/01/1991,12.05,12.03,12.52,11.56,96.63M,1.35%
10/01/1991,11.89,11.89,11.94,10.59,117.61M,7.60%
09/01/1991,11.05,11.05,11.70,11.00,76.90M,-4.82%
08/01/1991,11.61,11.61,11.67,10.62,87.94M,1.40%
07/01/1991,11.45,11.45,11.45,10.22,108.43M,9.67%
06/01/1991,10.44,10.44,11.25,10.25,147.49M,-7.86%
05/01/1991,11.33,11.33,12.03,11.11,120.42M,-4.06%
04/01/1991,11.81,11.81,12.55,11.64,151.26M,-1.42%
03/01/1991,11.98,11.98,12.44,10.12,178.51M,16.65%
02/01/1991,10.27,10.27,10.36,9.38,125.61M,7.43%
01/01/1991,9.56,9.56,9.58,8.17,148.30M,6.58%
12/01/1990,8.97,8.97,9.02,8.69,93.74M,2.87%
11/01/1990,8.72,8.72,8.80,7.97,117.52M,8.32%
10/01/1990,8.05,8.05,8.69,7.92,136.47M,1.77%
09/01/1990,7.91,7.91,8.34,7.56,102.74M,-3.54%
08/01/1990,8.20,8.20,8.84,7.50,168.42M,-7.13%
07/01/1990,8.83,8.83,9.27,8.44,116.02M,4.25%
